"","id","identifier"
"1",1,"bulbasaur"
"2",2,"ivysaur"
"3",3,"venusaur"
"4",4,"charmander"
"5",5,"charmeleon"
"6",6,"charizard"
"7",7,"squirtle"
"8",8,"wartortle"
"9",9,"blastoise"
"10",10,"caterpie"
"11",11,"metapod"
"12",12,"butterfree"
"13",13,"weedle"
"14",14,"kakuna"
"15",15,"beedrill"
"16",16,"pidgey"
"17",17,"pidgeotto"
"18",18,"pidgeot"
"19",19,"rattata"
"20",20,"raticate"
"21",21,"spearow"
"22",22,"fearow"
"23",23,"ekans"
"24",24,"arbok"
"25",25,"pikachu"
"26",26,"raichu"
"27",27,"sandshrew"
"28",28,"sandslash"
"29",29,"nidoran-f"
"30",30,"nidorina"
"31",31,"nidoqueen"
"32",32,"nidoran-m"
"33",33,"nidorino"
"34",34,"nidoking"
"35",35,"clefairy"
"36",36,"clefable"
"37",37,"vulpix"
"38",38,"ninetales"
"39",39,"jigglypuff"
"40",40,"wigglytuff"
"41",41,"zubat"
"42",42,"golbat"
"43",43,"oddish"
"44",44,"gloom"
"45",45,"vileplume"
"46",46,"paras"
"47",47,"parasect"
"48",48,"venonat"
"49",49,"venomoth"
"50",50,"diglett"
"51",51,"dugtrio"
"52",52,"meowth"
"53",53,"persian"
"54",54,"psyduck"
"55",55,"golduck"
"56",56,"mankey"
"57",57,"primeape"
"58",58,"growlithe"
"59",59,"arcanine"
"60",60,"poliwag"
"61",61,"poliwhirl"
"62",62,"poliwrath"
"63",63,"abra"
"64",64,"kadabra"
"65",65,"alakazam"
"66",66,"machop"
"67",67,"machoke"
"68",68,"machamp"
"69",69,"bellsprout"
"70",70,"weepinbell"
"71",71,"victreebel"
"72",72,"tentacool"
"73",73,"tentacruel"
"74",74,"geodude"
"75",75,"graveler"
"76",76,"golem"
"77",77,"ponyta"
"78",78,"rapidash"
"79",79,"slowpoke"
"80",80,"slowbro"
"81",81,"magnemite"
"82",82,"magneton"
"83",83,"farfetchd"
"84",84,"doduo"
"85",85,"dodrio"
"86",86,"seel"
"87",87,"dewgong"
"88",88,"grimer"
"89",89,"muk"
"90",90,"shellder"
"91",91,"cloyster"
"92",92,"gastly"
"93",93,"haunter"
"94",94,"gengar"
"95",95,"onix"
"96",96,"drowzee"
"97",97,"hypno"
"98",98,"krabby"
"99",99,"kingler"
"100",100,"voltorb"
"101",101,"electrode"
"102",102,"exeggcute"
"103",103,"exeggutor"
"104",104,"cubone"
"105",105,"marowak"
"106",106,"hitmonlee"
"107",107,"hitmonchan"
"108",108,"lickitung"
"109",109,"koffing"
"110",110,"weezing"
"111",111,"rhyhorn"
"112",112,"rhydon"
"113",113,"chansey"
"114",114,"tangela"
"115",115,"kangaskhan"
"116",116,"horsea"
"117",117,"seadra"
"118",118,"goldeen"
"119",119,"seaking"
"120",120,"staryu"
"121",121,"starmie"
"122",122,"mr-mime"
"123",123,"scyther"
"124",124,"jynx"
"125",125,"electabuzz"
"126",126,"magmar"
"127",127,"pinsir"
"128",128,"tauros"
"129",129,"magikarp"
"130",130,"gyarados"
"131",131,"lapras"
"132",132,"ditto"
"133",133,"eevee"
"134",134,"vaporeon"
"135",135,"jolteon"
"136",136,"flareon"
"137",137,"porygon"
"138",138,"omanyte"
"139",139,"omastar"
"140",140,"kabuto"
"141",141,"kabutops"
"142",142,"aerodactyl"
"143",143,"snorlax"
"144",144,"articuno"
"145",145,"zapdos"
"146",146,"moltres"
"147",147,"dratini"
"148",148,"dragonair"
"149",149,"dragonite"
"150",150,"mewtwo"
"151",151,"mew"
"152",152,"chikorita"
"153",153,"bayleef"
"154",154,"meganium"
"155",155,"cyndaquil"
"156",156,"quilava"
"157",157,"typhlosion"
"158",158,"totodile"
"159",159,"croconaw"
"160",160,"feraligatr"
"161",161,"sentret"
"162",162,"furret"
"163",163,"hoothoot"
"164",164,"noctowl"
"165",165,"ledyba"
"166",166,"ledian"
"167",167,"spinarak"
"168",168,"ariados"
"169",169,"crobat"
"170",170,"chinchou"
"171",171,"lanturn"
"172",172,"pichu"
"173",173,"cleffa"
"174",174,"igglybuff"
"175",175,"togepi"
"176",176,"togetic"
"177",177,"natu"
"178",178,"xatu"
"179",179,"mareep"
"180",180,"flaaffy"
"181",181,"ampharos"
"182",182,"bellossom"
"183",183,"marill"
"184",184,"azumarill"
"185",185,"sudowoodo"
"186",186,"politoed"
"187",187,"hoppip"
"188",188,"skiploom"
"189",189,"jumpluff"
"190",190,"aipom"
"191",191,"sunkern"
"192",192,"sunflora"
"193",193,"yanma"
"194",194,"wooper"
"195",195,"quagsire"
"196",196,"espeon"
"197",197,"umbreon"
"198",198,"murkrow"
"199",199,"slowking"
"200",200,"misdreavus"
"201",201,"unown"
"202",202,"wobbuffet"
"203",203,"girafarig"
"204",204,"pineco"
"205",205,"forretress"
"206",206,"dunsparce"
"207",207,"gligar"
"208",208,"steelix"
"209",209,"snubbull"
"210",210,"granbull"
"211",211,"qwilfish"
"212",212,"scizor"
"213",213,"shuckle"
"214",214,"heracross"
"215",215,"sneasel"
"216",216,"teddiursa"
"217",217,"ursaring"
"218",218,"slugma"
"219",219,"magcargo"
"220",220,"swinub"
"221",221,"piloswine"
"222",222,"corsola"
"223",223,"remoraid"
"224",224,"octillery"
"225",225,"delibird"
"226",226,"mantine"
"227",227,"skarmory"
"228",228,"houndour"
"229",229,"houndoom"
"230",230,"kingdra"
"231",231,"phanpy"
"232",232,"donphan"
"233",233,"porygon2"
"234",234,"stantler"
"235",235,"smeargle"
"236",236,"tyrogue"
"237",237,"hitmontop"
"238",238,"smoochum"
"239",239,"elekid"
"240",240,"magby"
"241",241,"miltank"
"242",242,"blissey"
"243",243,"raikou"
"244",244,"entei"
"245",245,"suicune"
"246",246,"larvitar"
"247",247,"pupitar"
"248",248,"tyranitar"
"249",249,"lugia"
"250",250,"ho-oh"
"251",251,"celebi"
"252",252,"treecko"
"253",253,"grovyle"
"254",254,"sceptile"
"255",255,"torchic"
"256",256,"combusken"
"257",257,"blaziken"
"258",258,"mudkip"
"259",259,"marshtomp"
"260",260,"swampert"
"261",261,"poochyena"
"262",262,"mightyena"
"263",263,"zigzagoon"
"264",264,"linoone"
"265",265,"wurmple"
"266",266,"silcoon"
"267",267,"beautifly"
"268",268,"cascoon"
"269",269,"dustox"
"270",270,"lotad"
"271",271,"lombre"
"272",272,"ludicolo"
"273",273,"seedot"
"274",274,"nuzleaf"
"275",275,"shiftry"
"276",276,"taillow"
"277",277,"swellow"
"278",278,"wingull"
"279",279,"pelipper"
"280",280,"ralts"
"281",281,"kirlia"
"282",282,"gardevoir"
"283",283,"surskit"
"284",284,"masquerain"
